sentence	lexical verb	trans	gloss	form	comment	p	text	part	theme	perspective	speaker	language	dialect	affiliation	source	page	note
1	идти		1=V.PF-EM2	aorist		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	753	
2	идти		HPL=V.PF-EM2	aorist		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	753	
2	останавливаться		HPL=V.PF-EM2	aorist		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	753	
3	плохой.быть		ADJ=ADV.NPL-EM1	cop	epistemic marker in predicative function	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	753	
3	рвать		NPL.V-IPF	present	past, epistemic marker on compelement	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	753	
4	доходить		HPL=V.PF-TEMP1	converb		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	753	
4	садиться		3.V-PF-EM1	aorist	epistemic marker	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	753	
5.6	темный.быть		ADJ=ADV.4-EM1	cop	epistemic marker in predicative function	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
5.6	спотыкаться		HPL.V.IPF-EM1	present	epistemic marker	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
7	спотыкаться		1=V.PF-AA	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
7	падать		1=V.PF	aorist		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
7	ломаться-делать		4.V-4.V-PF	aorist		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
8	ломаться-делать		4.V-4.V-PF	aorist		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
8	говорить		V.PF-A	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
9	доходить-делать		1.V-1.V.PF-TEMP1	converb		nonfinite	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
9	идти		1=V.PF	aorist		not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	754	
10	спать		HPL=V.PF-A-PL	aorist	atr	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
11	спать		1.V.IPF-AA-EM2-HAB	habitual	past / epistemic marker	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
11	приходить + не.быть		V.IPF + V-EM1	present	epistemic marker	not P	Текст А		anecdote from personal experience	direct	Исмаил Мамедов	Tsakhur		Lezgic	Kibrik et al. (1999)	755	
